Mr_ksi,H_AC_in,eps_t_microstrain,eps_c_microstrain,Nf_AI,Nd_AI,Nf_MEPDG,governing_AI
4.0,3.0,446.4773767197899,1650.090925873872,114683.95677287273,3911.55904523141,1527.1895027095222,rutting
4.0,3.230769230769231,435.18665273642375,1556.437617616052,124770.34991635327,5081.1140901282715,1689.753675832939,rutting
4.0,3.4615384615384617,422.4726852262501,1469.237939254691,137559.1159124316,6577.504682231849,1899.6648168369866,rutting
4.0,3.6923076923076925,408.9801978804093,1388.1480491628952,153066.61503514927,8481.011118853055,2159.4656587898353,rutting
4.0,3.9230769230769234,395.1472537657293,1312.7873842902618,171418.98545811768,10888.707883990739,2473.7763469029355,rutting
4.0,4.153846153846154,381.26924390058036,1242.7628495387373,192823.03688792905,13917.345263783509,2848.921157081875,rutting
4.0,4.384615384615385,367.5432936060942,1177.6845997454989,217551.65994858017,17706.626910803356,3292.7943647541447,rutting
4.0,4.615384615384615,354.0989389270189,1117.1759446532228,245936.81358582427,22422.929766182067,3814.8545004103125,rutting
4.0,4.846153846153847,341.0192544568751,1060.8792141135846,278366.72640044795,28263.5191973548,4426.194709949877,rutting
4.0,5.076923076923077,328.355379631926,1008.4588910065281,315285.5976921781,35461.31965074437,5139.6635131321555,rutting
4.0,5.307692307692308,316.13650089938,959.6029292439772,357194.88974968984,44290.30946956431,5970.023113831172,rutting
4.0,5.538461538461538,304.3767157717328,914.0228932098893,404655.71542342484,55071.61763844657,6934.138993822942,rutting
4.0,5.769230769230769,293.0797616202086,871.4533554142815,458292.0448612057,68180.40988718864,8051.198064117731,rutting
4.0,6.0,282.2422836436969,831.6508488381338,518794.57660595723,84053.66158282683,9342.954655313239,rutting
4.0,6.230769230769231,271.85610323743333,794.3925726393752,586925.1872461543,103198.92492389867,10834.004828669047,rutting
4.0,6.461538461538462,261.90980137704753,759.4749822556278,663521.9140184646,126204.20790218098,12552.090249311752,rutting
4.0,6.6923076923076925,252.38983125947948,726.7123485768062,749504.4485934633,153749.09212931333,14528.433372980338,rutting
4.0,6.923076923076923,243.28130596626218,695.9353393998432,845880.1344699814,186617.22579590787,16798.106059957838,rutting
4.0,7.153846153846154,234.5685603372928,666.9896552838745,953750.468741177,225710.33663960625,19400.434000116576,rutting
4.0,7.384615384615385,226.23555463851602,639.734737982141,1074318.1136682106,272063.9177831455,22379.43954268843,rutting
4.0,7.615384615384616,218.2661662038261,614.0425605691315,1208894.4258256424,326864.7466244681,25784.325691658978,rutting
4.0,7.846153846153847,210.644400757501,589.7965026182688,1358907.511392438,391470.4035894693,29670.004163579528,rutting
4.0,8.076923076923077,203.35454534203683,566.8903102121698,1525910.8159901374,467430.9634628224,34097.670516094004,rutting
4.0,8.307692307692308,196.38127816360776,545.227138425574,1711592.2566742478,556513.0371495577,39135.429447290655,rutting
4.0,8.538461538461538,189.70974618871583,524.7186726969479,1917783.9025071845,660726.3460260351,44858.97344131557,rutting
4.0,8.76923076923077,183.32561828011384,505.2843248564708,2146472.2087466666,782353.0144297945,51352.317996843696,rutting
4.0,9.0,177.2151195751038,486.8504992830572,2399808.8081772467,923979.7682083646,58708.59672345596,rutting
